POS Txn,Dept,ID,Sales U
16120100000000000000,0261:HOSIERY,250,2
16100000000000000000,0634:VITAMINS & HLTH AIDS,102,1
16120100000000000000,0879:PET SUPPLIES,158,2
16100000000000000000,0973:CANDY,175,2
16100000000000000000,0982:SPIRITS,176,1
16100000000000000000,0983:WINE,177,4
16100000000000000000,0991:TOBACCO,179,2
16100000000000000000,0597:HEALTH AIDS,93,1
16100000000000000000,0604:PERSONAL CARE,100,5
16100000000000000000,0819:PRE-RECORDED A/V,135,1
16100000000000000000,0826:SMALL ELECTRICS,138,1
16100000000000000000,0982:SPIRITS,176,1
16100000000000000000,0961:GENERAL GROCERIES,169,3
16100000000000000000,0982:SPIRITS,176,2
16100000000000000000,0982:SPIRITS,176,4
16100000000000000000,0991:TOBACCO,179,1
16100000000000000000,0879:PET SUPPLIES,158,16
16100000000000000000,0982:SPIRITS,176,1
16100000000000000000,0983:WINE,177,2
16100000000000000000,0984:BEER,178,1
16100000000000000000,0530:SCHOOL/OFFIC SUPP,70,1
16100000000000000000,0597:HEALTH AIDS,93,1
16100000000000000000,0601:VALUE ZONE,97,1
16100000000000000000,0634:VITAMINS & HLTH AIDS,102,1
16100000000000000000,0836:HOUSEHOLD CLEANING,143,7
16100000000000000000,0593:PRESTIGE COSMETICS,270,1
16100000000000000000,0597:HEALTH AIDS,93,1
16100000000000000000,0598:BABY CARE,94,1
16100000000000000000,0836:HOUSEHOLD CLEANING,143,1
16100000000000000000,0965:PERISHABLES,171,1
16100000000000000000,0973:CANDY,175,1
16100000000000000000,0983:WINE,177,2
16100000000000000000,0837:GENERAL HOUSEWARES,296,1
16100000000000000000,0982:SPIRITS,176,1
16100000000000000000,0879:PET SUPPLIES,158,1
16100000000000000000,0973:CANDY,175,2
16100000000000000000,0984:BEER,178,1
16100000000000000000,0983:WINE,177,1
16100000000000000000,0962:BEVERAGES,170,1
16100000000000000000,0982:SPIRITS,176,1
16100000000000000000,0982:SPIRITS,176,1
16100000000000000000,0983:WINE,177,3
16100000000000000000,0982:SPIRITS,176,1
16100000000000000000,0638:GEN SPORTING GOODS,106,4
16100000000000000000,0961:GENERAL GROCERIES,169,2
16100000000000000000,0973:CANDY,175,1
16100000000000000000,0991:TOBACCO,179,1
16100000000000000000,0646:SEASONAL,110,1
16100000000000000000,0991:TOBACCO,179,2
16100000000000000000,0962:BEVERAGES,170,2
16100000000000000000,0982:SPIRITS,176,1
