POS Txn,item
16120100160021000000,HOSIERY
16120100160021000000,VITAMINS & HLTH AIDS
16120100160021000000,PET SUPPLIES
16120100160021000000,CANDY
16120100160021000000,SPIRITS
16120100160021000000,WINE
16120100160021000000,TOBACCO
16120100160021000000,HEALTH AIDS
16120100160021000000,PERSONAL CARE
16120100160021000000,PRE-RECORDED A/V
16120100160021000000,SMALL ELECTRICS
16120100160021000000,SPIRITS
16120100160021000000,GENERAL GROCERIES
16120100160021000000,SPIRITS
16120100160021000000,SPIRITS
16120100160021000000,TOBACCO
16120100160021000000,PET SUPPLIES
16120100160021000000,SPIRITS
16120100160021000000,WINE
16120100160021000000,BEER
16120100160021000000,SCHOOL/OFFIC SUPP
16120100160021000000,HEALTH AIDS
16120100160021000000,VALUE ZONE
16120100160021000000,VITAMINS & HLTH AIDS
16120100160021000000,HOUSEHOLD CLEANING
16120100160021000000,PRESTIGE COSMETICS
16120100160021000000,HEALTH AIDS
16120100160021000000,BABY CARE
16120100160021000000,HOUSEHOLD CLEANING
16120100160021000000,PERISHABLES
16120100160021000000,CANDY
16120100160021000000,WINE
16120100160021000000,GENERAL HOUSEWARES
16120100160021000000,SPIRITS
16120100160021000000,PET SUPPLIES
16120100160021000000,CANDY
16120100160021000000,BEER
16120100160021000000,WINE
16120100160021000000,BEVERAGES
16120100160021000000,SPIRITS
16120100160021000000,SPIRITS
16120100160021000000,WINE
16120100160021000000,SPIRITS
16120100160021000000,GEN SPORTING GOODS
16120100160021000000,GENERAL GROCERIES
16120100160021000000,CANDY
16120100160021000000,TOBACCO
16120100160021000000,SEASONAL
16120100160021000000,TOBACCO
16120100160021000000,BEVERAGES
16120100160021000000,SPIRITS
16120100160021000000,WINE
16120100160021000000,SPIRITS
16120100160021000000,SPIRITS
16120100160021000000,WINE
16120100160021000000,BEVERAGES
16120100160021000000,SPIRITS
16120100160021000000,BEAUTY CARE
16120100160021000000,PERSONAL CARE
16120100160021000000,BEVERAGES
16120100160021000000,BEVERAGES
16120100160021000000,SPIRITS
16120100160021000000,BEVERAGES
16120100160021000000,BEAUTY RETAIL
16120100160021000000,BEAUTY CARE
16120100160021000000,HOME DECOR
16120100160021000000,SPIRITS
16120100160021000000,TOBACCO
16120100160021000000,BEAUTY CARE
16120100160021000000,PERSONAL CARE
16120100160021000000,GEN SPORTING GOODS
16120100160021000000,SPORTS NUTRITION
16120100160021000000,AUTOMOTIVE
16120100160021000000,GENERAL GROCERIES
16120100160021000000,BEVERAGES
16120100160021000000,CANDY
16120100160021000000,HEALTH AIDS
16120100160021000000,SPORTS NUTRITION
16120100160021000000,HOUSEHOLD CLEANING
16120100160021000000,HOUSEHOLD CLEANING
16120100160021000000,WINE
16120100160021000000,BEER
16120100160021000000,GENERAL GROCERIES
16120100160021000000,SPIRITS
16120100160021000000,BEVERAGES
16120100160021000000,SPIRITS
16120100160021000000,BEER
16120100160021000000,GENERAL GROCERIES
16120100160021000000,SPORTS NUTRITION
16120100160021000000,GENERAL GROCERIES
16120100160021000000,BEVERAGES
16120100160021000000,PERSONAL CARE
16120100160021000000,HOUSEHOLD CLEANING
16120100160021000000,WINE
16120100160022000000,FASHION ACCESSORIES
16120100160022000000,GENERAL GROCERIES
16120100160022000000,BEVERAGES
16120100160022000000,SPIRITS
16120100160022000000,SPIRITS
16120100160022000000,SMALL ELECTRICS
16120100160022000000,SPIRITS
16120100160022000000,BEER
16120100160022000000,TOBACCO
16120100160022000000,TOBACCO
16120100160022000000,HOUSEHOLD CLEANING
16120100160022000000,LAWN & GARDEN
16120100160022000000,TOBACCO
16120100160022000000,CAMERAS & EQUIP
16120100160022000000,HEALTH AIDS
16120100160022000000,COOKWARE
16120100160022000000,HOUSEHOLD CLEANING
16120100160022000000,AMERICAN GREETINGS
16120100160022000000,WINE
16120100160022000000,BEER
16120100160022000000,WINE
16120100160022000000,SPORTS NUTRITION
16120100160022000000,GENERAL HARDWARE
16120100160022000000,GENERAL GROCERIES
16120100160022000000,SPIRITS
16120100160022000000,WINE
16120100160022000000,GENERAL GROCERIES
16120100160022000000,BEVERAGES
16120100160022000000,SEASONAL
16120100160022000000,PET SUPPLIES
16120100160022000000,SPIRITS
16120100160022000000,WINE
16120100160022000000,BEER
16120100160022000000,TOBACCO
16120100160022000000,PRESTIGE COSMETICS
16120100160022000000,SPIRITS
16120100160022000000,BEER
16120100160022000000,TOBACCO
16120100160022000000,WINE
16120100160022000000,TOBACCO
16120100160022000000,AMERICAN GREETINGS
16120100160022000000,SPIRITS
16120100160022000000,WINE
16120100160022000000,SPIRITS
16120100160022000000,SPORTS NUTRITION
16120100160022000000,TOBACCO
16120100160022000000,BEVERAGES
16120100160022000000,SPIRITS
16120100160022000000,PET SUPPLIES
16120100160022000000,CANDY
16120100160022000000,TOBACCO
16120100160022000000,PERSONAL CARE
16120100160022000000,SPORTS NUTRITION
16120100160022000000,LOCAL GIFTS/FOODS
16120100160022000000,SCHOOL/OFFIC SUPP
16120100160022000000,AMERICAN GREETINGS
16120100160022000000,PERSONAL CARE
16120100160022000000,PET SUPPLIES
16120100160022000000,CANDY
16120100160022000000,WINE
16120100160022000000,SPORTS NUTRITION
16120100160022000000,BEVERAGES
16120100160022000000,TOBACCO
16120100160022000000,SEASONAL
16120100160022000000,SPIRITS
16120100160022000000,WINE
16120100160022000000,BEVERAGES
16120100160022000000,DAYWEAR
16120100160022000000,STATIONERY SUNDRIES
16120100160022000000,BABY CARE
16120100160022000000,WINE
16120100160022000000,SEASONAL
16120100160022000000,MASS COSMETICS
16120100160022000000,HEALTH AIDS
16120100160022000000,SPIRITS
16120100160022000000,WINE
16120100160022000000,WINE
16120100160022000000,BEAUTY RETAIL
16120100160022000000,SEASONAL
16120100160022000000,BEVERAGES
16120100160022000000,CANDY
16120100160022000000,SPIRITS
16120100160022000000,WINE
16120100160022000000,TOBACCO
16120100160022000000,PET SUPPLIES
16120100160022000000,HOUSEHOLD CLEANING
16120100160022000000,PET SUPPLIES
16120100160022000000,PET SUPPLIES
16120100160022000000,BEVERAGES
16120100160022000000,SPIRITS
16120100160022000000,BEAUTY CARE
16120100160022000000,AUTOMOTIVE
16120100160022000000,BEER
16120100160022000000,BATTERIES
16120100160022000000,GENERAL GROCERIES
16120100160022000000,BEVERAGES
16120100160022000000,CANDY
16120100160022000000,TOBACCO
16120100160022000000,GENERAL GROCERIES
16120100160022000000,CANDY
16120100160022000000,HEALTH AIDS
16120100160022000000,BEAUTY CARE
16120100160022000000,PERSONAL CARE
16120100160022000000,HOUSEHOLD CLEANING
16120100160022000000,WINE
16120100160022000000,MENS DENIM JEANS
16120100160022000000,PET SUPPLIES
16120100160022000000,HEALTH AIDS
16120100160022000000,SPIRITS
16120100160022000000,TOBACCO
16120100160022000000,SUNGLASSES
16120100160022000000,HEALTH AIDS
16120100160022000000,BEAUTY CARE
16120100160022000000,PERSONAL CARE
16120100160022000000,HOUSEHOLD CLEANING
16120100160022000000,PET SUPPLIES
16120100160022000000,LAWN & GARDEN
16120100160022000000,MASS COSMETICS
16120100160022000000,TOYS
16120100160022000000,BEVERAGES
16120100160022000000,CANDY
16120100160022000000,TOYS
16120100160022000000,SEASONAL
16120100160022000000,BEVERAGES
16120100160022000000,SPIRITS
16120100160022000000,SPIRITS
16120100160022000000,WINE
16120100160022000000,PERSONAL CARE
16120100160022000000,SPIRITS
