item,t_id
HOSIERY,0
VITAMINS & HLTH AIDS,0
PET SUPPLIES,0
CANDY,0
SPIRITS,0
WINE,0
TOBACCO,0
HEALTH AIDS,1
PERSONAL CARE,1
PRE-RECORDED A/V,2
SMALL ELECTRICS,2
SPIRITS,2
GENERAL GROCERIES,3
SPIRITS,4
SPIRITS,5
TOBACCO,5
PET SUPPLIES,6
SPIRITS,6
WINE,6
BEER,6
SCHOOL/OFFIC SUPP,7
HEALTH AIDS,7
VALUE ZONE,7
VITAMINS & HLTH AIDS,7
HOUSEHOLD CLEANING,7
PRESTIGE COSMETICS,8
HEALTH AIDS,8
BABY CARE,8
HOUSEHOLD CLEANING,8
PERISHABLES,8
CANDY,8
WINE,8
GENERAL HOUSEWARES,9
SPIRITS,9
PET SUPPLIES,10
CANDY,10
BEER,10
WINE,11
BEVERAGES,12
SPIRITS,12
SPIRITS,13
WINE,13
SPIRITS,14
GEN SPORTING GOODS,15
GENERAL GROCERIES,15
CANDY,15
TOBACCO,15
SEASONAL,16
TOBACCO,16
BEVERAGES,17
SPIRITS,17
WINE,17
SPIRITS,18
SPIRITS,19
WINE,19
BEVERAGES,20
SPIRITS,20
BEAUTY CARE,21
PERSONAL CARE,21
BEVERAGES,21
BEVERAGES,22
SPIRITS,22
BEVERAGES,23
BEAUTY RETAIL,24
BEAUTY CARE,24
HOME DECOR,24
SPIRITS,24
TOBACCO,24
BEAUTY CARE,25
PERSONAL CARE,25
GEN SPORTING GOODS,25
SPORTS NUTRITION,25
AUTOMOTIVE,25
GENERAL GROCERIES,25
BEVERAGES,25
CANDY,25
HEALTH AIDS,26
SPORTS NUTRITION,26
HOUSEHOLD CLEANING,26
HOUSEHOLD CLEANING,27
WINE,28
BEER,28
GENERAL GROCERIES,29
SPIRITS,29
BEVERAGES,30
SPIRITS,30
BEER,30
GENERAL GROCERIES,31
SPORTS NUTRITION,32
GENERAL GROCERIES,33
BEVERAGES,33
PERSONAL CARE,34
HOUSEHOLD CLEANING,34
WINE,35
FASHION ACCESSORIES,36
GENERAL GROCERIES,36
BEVERAGES,36
SPIRITS,36
SPIRITS,37
SMALL ELECTRICS,38
SPIRITS,38
BEER,38
TOBACCO,38
TOBACCO,39
HOUSEHOLD CLEANING,40
LAWN & GARDEN,41
TOBACCO,41
CAMERAS & EQUIP,42
HEALTH AIDS,42
COOKWARE,42
HOUSEHOLD CLEANING,42
AMERICAN GREETINGS,43
WINE,43
BEER,43
WINE,44
SPORTS NUTRITION,45
GENERAL HARDWARE,45
GENERAL GROCERIES,46
SPIRITS,46
WINE,46
GENERAL GROCERIES,47
BEVERAGES,47
SEASONAL,48
PET SUPPLIES,48
SPIRITS,48
WINE,48
BEER,49
TOBACCO,49
PRESTIGE COSMETICS,50
SPIRITS,50
BEER,50
TOBACCO,50
WINE,51
TOBACCO,52
AMERICAN GREETINGS,53
SPIRITS,54
WINE,54
SPIRITS,55
SPORTS NUTRITION,56
TOBACCO,57
BEVERAGES,58
SPIRITS,59
PET SUPPLIES,60
CANDY,60
TOBACCO,60
PERSONAL CARE,61
SPORTS NUTRITION,61
LOCAL GIFTS/FOODS,62
SCHOOL/OFFIC SUPP,62
AMERICAN GREETINGS,62
PERSONAL CARE,62
PET SUPPLIES,62
CANDY,62
WINE,62
SPORTS NUTRITION,63
BEVERAGES,63
TOBACCO,63
SEASONAL,64
SPIRITS,65
WINE,65
BEVERAGES,66
DAYWEAR,67
STATIONERY SUNDRIES,67
BABY CARE,67
WINE,67
SEASONAL,68
MASS COSMETICS,69
HEALTH AIDS,69
SPIRITS,69
WINE,69
WINE,70
BEAUTY RETAIL,71
SEASONAL,71
BEVERAGES,72
CANDY,72
SPIRITS,72
WINE,72
TOBACCO,72
PET SUPPLIES,73
HOUSEHOLD CLEANING,74
PET SUPPLIES,74
PET SUPPLIES,75
BEVERAGES,76
SPIRITS,76
BEAUTY CARE,77
AUTOMOTIVE,78
BEER,79
BATTERIES,80
GENERAL GROCERIES,81
BEVERAGES,81
CANDY,81
TOBACCO,81
GENERAL GROCERIES,82
CANDY,82
HEALTH AIDS,83
BEAUTY CARE,83
PERSONAL CARE,83
HOUSEHOLD CLEANING,83
WINE,83
MENS DENIM JEANS,84
PET SUPPLIES,84
HEALTH AIDS,85
SPIRITS,85
TOBACCO,85
SUNGLASSES,86
HEALTH AIDS,86
BEAUTY CARE,86
PERSONAL CARE,86
HOUSEHOLD CLEANING,86
PET SUPPLIES,86
LAWN & GARDEN,86
MASS COSMETICS,87
TOYS,87
BEVERAGES,87
CANDY,87
TOYS,88
SEASONAL,88
BEVERAGES,89
SPIRITS,89
SPIRITS,90
WINE,90
PERSONAL CARE,91
SPIRITS,91
HEALTH AIDS,92
BATTERIES,92
GENERAL GROCERIES,92
BEVERAGES,92
HEALTH AIDS,93
BEAUTY CARE,93
PERSONAL CARE,93
SPIRITS,93
BEER,93
TOBACCO,93
PET SUPPLIES,94
SPIRITS,94
TOBACCO,94
FISHING,95
HEALTH AIDS,96
PERSONAL CARE,96
HOUSEHOLD CLEANING,96
BEER,96
TOBACCO,96
SPIRITS,97
WINE,97
SPIRITS,98
BEER,98
HEALTH AIDS,99
GENERAL HARDWARE,99
BEVERAGES,100
SPIRITS,100
SPIRITS,101
SPIRITS,102
TOBACCO,102
HOUSEHOLD CLEANING,103
SPIRITS,104
TOBACCO,105
WINE,106
TOBACCO,106
TOBACCO,107
HEALTH AIDS,108
PET SUPPLIES,108
CANDY,108
THIRD PARTY GIFTCARD,109
PET SUPPLIES,110
TOBACCO,110
WINE,111
MENS ACCESSORIES,112
CANDY,112
BIKES,113
BATTERIES,113
SPIRITS,114
WINE,114
GENERAL HARDWARE,115
HEALTH AIDS,116
SPIRITS,116
WINE,116
GENERAL HARDWARE,117
HOUSEHOLD CLEANING,118
SPIRITS,118
TOBACCO,118
AMERICAN GREETINGS,119
BEAUTY CARE,119
GEN SPORTING GOODS,119
CANDY,119
SPIRITS,119
WINE,119
BEER,119
WINE,120
AMERICAN GREETINGS,121
TOYS,121
SEASONAL,121
PET SUPPLIES,122
BOOKS AND MAPS,123
CANDY,123
HEALTH AIDS,124
CANDY,124
WINE,124
BEER,124
GENERAL HARDWARE,125
GEN SPORTING GOODS,126
WINE,126
HEALTH AIDS,127
BEER,128
SPIRITS,129
SPIRITS,130
MASS COSMETICS,131
CANDY,131
